שם הנקודה,Y,X
1,151650.99,243464.96
2,151668.68,243480.97
4,151681.39,243492.49
5,151695.48,243505.25
6,151700.67,243509.95
8,151724.8,243531.81
10,151745.71,243550.76
11,151772.24,243574.79
15,151799.08,243599.1
15A,151812.62,243592.22
15B,151815.2,243598
15C,151799.13,243616.37
16,151622.41,243486.85
17,151619.91,243503.65
18,151629.2,243515.61
19,151634.85,243523.8
20,151662.93,243504.91
21,151653.46,243492.32
22,151639.91,243531.59
23,151644.95,243542.08
24,151672.23,243528.42
25,151685.17,243521.3
26,151693.52,243515.52
27,151648.76,243553.71
28,151652.41,243566.77
28A,151661.5,243563.16
29,151704.31,243544.9
30,151715.28,243538.7
31,151636.62,243545.64
32,151620.19,243550.41
33,151600.69,243555.45
34,151583.97,243558.5
35,151562.59,243560.39
35A,151569.59,243572.33
36,151527.11,243562.6
37,151512.13,243563.23
38,151504.93,243567.28
39,151503.14,243593.07
40,151560.13,243595.36
41,151566.45,243584.53
42,151569.42,243584.13
43,151586.29,243581.89
44,151608.62,243578.96
45,151625.83,243575.4
46,151643.1,243570.46
47,151640.38,243558.39
48,151561.16,243605.1
49,151568.16,243605.25
50,151578.18,243665.46
51,151587.07,243604.13
52,151598.6,243600.98
53,151611.54,243597.22
54,151627.06,243591.73
55,151644.47,243584.17
56,151654.54,243579.77
57,151678.36,243569.43
58,151689.45,243564.79
59,151699.93,243561.48
60,151718.82,243558.11
61,151708.99,243559.86
63,151713,243578.73
65,151717.48,243599.61
66,151659.84,243632.09
67,151644.32,243639.03
68,151583.38,243655.23
70,151494.02,243646.55
71,151499.49,243621.09
72,151564.65,243628.75
73,151586.07,243629.49
74,151645.43,243612.1
75,151657.95,243605.02
76,151761.85,243579.66
77,151755.93,243587.18
78,151749.94,243593.59
79,151741.98,243601.24
80,151726.14,243613.32
81,151718.3,243618.3
82,151659.64,243647.7
83,151641.99,243654.63
84,151579.54,243669.77
85,151554.06,243671.4
86,151491.03,243660.43
