שם נקודה,Y,X
027T,192538.83,639423.87
41GM,179826.665,638833.172
425M,180318.68,654953.76
457M,172641.588,649064.99
1528K,175889.929,660193.273
1229W,171008.44,637674.755
426M,197608.15,650707.04
1177K,194613.98,659004.76
830H,177797.7,656584.79
831H,177896.46,656582.71
832H,177904.31,656545.69
833H,177800.52,656550.23
834H,177895.05,656627.64
194,177866.15,656552.41
448,177790.15,656583.33
500A,177787.31,656553.53
512,177820.23,656581.69
516,177850.14,656580.84
521,177880.07,656580.66
944,177798.4,656553.4
951,177866.4,656552.619
952,177866.469,656580.742
953,177814.408,656582.024
954,177813.499,656553.226
1033,177896.73,656552.27
1034,177896.54,656580.89
1511,177800.02,656582.85
1523,177893.74,656580.85
1X2,177865.09,656589.28
3,177871.78,656575.63
4,177871.0,656572.67
7,177871.04,656564.35
8,177871.04,656560.99
9,177871.85,656558.04
10,177880.63,656595.55
11,177882.09,656594.58
12,177888.18,656594.51
13,177891.57,656597.31
14,177887.47,656589.16
15,177892.79,656591.21
16,177895.24,656596.0
17,177891.56,656609.7
29,177909.87,656589.48
30,177904.82,656591.36
31,177901.77,656596.48
32,177896.62,656582.8
33,177896.69,656581.08
34,177891.25,656581.03
35,177891.03,656575.71
36,177891.91,656572.73
37,177891.08,656569.39
38,177891.09,656564.4
39,177891.94,656561.04
40,177891.12,656558.1
42,177899.27,656582.87
43,177899.72,656581.07
44,177904.9,656581.11
45,177910.71,656581.05
46,177904.87,656574.54
47,177900.29,656574.51
48,177899.71,656573.72
49,177899.82,656574.35
50,177900.68,656573.38
51,177906.11,656575.23
61,177910.65,656551.0
62,177900.71,656565.18
73,177896.81,656552.1
75,177852.96,656549.04
76,177852.78,656550.94
77,177859.11,656568.61
78,177795.52,656560.49
79,177790.91,656561.22
80,177787.97,656561.32
81,177787.8,656561.28
82,177803.82,656561.75
83,177823.39,656551.59
84,177823.19,656549.67
85,177790.24,656550.42
86,177786.65,656552.41
87,177786.25,656550.55
88,177783.56,656553.01
89,177787.26,656553.46
99,177813.16,656582.17
102,177880.7,656592.56
103,177823.79,656581.68
104,177859.41,656582.74
105,177817.51,656581.88
106,177824.1,656583.51
107,177822.01,656583.57
108,177871.0,656569.29
109,177815.26,656582.05
110,177802.01,656582.6
111,177798.3,656582.92
112,177796.86,656582.88
113,177792.51,656583.08
114,177791.22,656582.49
115,177790.28,656582.55
116,177790.14,656583.18
117,177790.05,656583.17
118,177789.2,656574.54
119,177784.55,656569.76
120,177785.3,656577.76
121,177778.67,656584.26
122,177790.55,656585.29
134,177790.93,656596.81
135,177797.32,656598.5
136,177803.31,656598.09
137,177803.66,656598.08
138,177812.41,656595.5
139,177813.45,656597.46
140,177832.88,656596.71
141,177831.76,656594.7
142,177834.69,656592.66
143,177834.64,656592.69
144,177835.23,656590.19
145,177835.65,656589.89
146,177836.13,656589.72
147,177846.31,656589.38
148,177855.78,656589.25
149,177853.97,656582.76
150,177844.74,656582.93
151,177844.69,656582.37
152,177844.68,656581.74
153,177844.47,656580.74
154,177845.13,656580.75
155,177846.35,656580.78
157,177799.75,656577.91
158,177799.35,656571.72
159,177805.967,656577.56
160,177823.49,656561.46
162,177844.19,656559.05
165,177844.33,656571.73
166,177844.35,656572.64
167,177847.21,656574.36
168,177850.68,656574.31
169,177850.94,656575.79
170,177847.21,656572.83
171,177847.18,656571.79
172,177847.18,656569.54
173,177848.8,656569.51
174,177848.64,656565.26
175,177854.89,656565.13
176,177854.71,656565.54
177,177850.86,656569.6
178,177859.53,656581.24
179,177859.5,656580.78
180,177859.38,656580.38
181,177862.27,656581.19
182,177864.14,656581.18
183,177866.02,656581.17
184,177866.01,656580.97
185,177866.05,656580.71
186,177857.48,656565.46
187,177858.15,656569.68
188,177858.3,656575.73
189,177864.22,656559.07
190,177862.33,656559.05
191,177859.93,656553.23
192,177861.68,656552.35
193,177866.17,656551.11
195,177865.94,656552.47
196,177871.54,656580.78
197,177883.54,656580.95
198,177885.07,656580.94
199,177884.99,656582.76
